18.533s apt-daily-upgrade.service
 3.820s motd-news.service
 3.652s postgresql@14-main.service
  599ms apt-daily.service
  340ms man-db.service
  262ms snapd.seeded.service
  186ms dev-sdc.device
  181ms networkd-dispatcher.service
  157ms snapd.service
  138ms systemd-resolved.service
  134ms logrotate.service
   84ms user@0.service
   78ms systemd-journal-flush.service
   78ms systemd-logind.service
   63ms user@1000.service
   58ms systemd-udev-trigger.service
   51ms systemd-udevd.service
   44ms e2scrub_reap.service
   42ms apport.service
   41ms packagekit.service
   39ms keyboard-setup.service
   31ms systemd-journald.service
   25ms rsyslog.service
   21ms systemd-tmpfiles-setup.service
   20ms systemd-tmpfiles-clean.service
   19ms modprobe@configfs.service
   19ms modprobe@drm.service
   19ms modprobe@efi_pstore.service
   17ms dev-hugepages.mount
   17ms dev-mqueue.mount
   16ms snap-bare-5.mount
   16ms plymouth-read-write.service
   16ms sys-kernel-debug.mount
   15ms sys-kernel-tracing.mount
   15ms snap-core22-1586.mount
   15ms snap-core22-1612.mount
   14ms modprobe@fuse.service
   14ms systemd-tmpfiles-setup-dev.service
   14ms systemd-sysusers.service
   13ms snap-gtk\x2dcommon\x2dthemes-1535.mount
   13ms polkit.service
   11ms plymouth-quit.service
   11ms snap-snapd-20290.mount
    9ms snap-snapd-21759.mount
    8ms systemd-sysctl.service
    7ms snap-ubuntu\x2ddesktop\x2dinstaller-1276.mount
    7ms systemd-update-utmp.service
    6ms user-runtime-dir@0.service
    6ms console-setup.service
    6ms snap-ubuntu\x2ddesktop\x2dinstaller-1286.mount
    6ms postgresql.service
    5ms systemd-remount-fs.service
    5ms ufw.service
    5ms wsl-binfmt.service
    5ms user-runtime-dir@1000.service
    4ms systemd-user-sessions.service
    3ms systemd-update-utmp-runlevel.service
    3ms setvtrgb.service
    3ms snap.mount
    2ms plymouth-quit-wait.service
    2ms rtkit-daemon.service
    2ms sys-fs-fuse-connections.mount
    1ms e2scrub_all.service
  974us snapd.socket
